Title,Authors,HTML Link,PDF Link,Abstract,Published in,Date of Publication,Page(s),Electronic ISSN,PubMed ID,DOI,DOI Link,Publisher
Personas for Artificial Intelligence (AI) an Open Source Toolbox,Andreas Holzinger; Michaela Kargl; Bettina Kipperer; Peter Regitnig; Markus Plass; Heimo Müller; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/9721903/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9721903,"Personas have successfully supported the development of classical user interfaces for more than two decades by mapping users’ mental models to specific contexts. The rapid proliferation of Artificial Intelligence (AI) applications makes it necessary to create new approaches for future human-AI interfaces. Human-AI interfaces differ from classical human-computer interfaces in many ways, such as gaining some degree of human-like cognitive, self-executing, and self-adaptive capabilities and autonomy, and generating unexpected outputs that require non-deterministic interactions. Moreover, the most successful AI approaches are so-called “black box” systems, where the technology and the machine learning process are opaque to the user and the AI output is far not intuitive. This work shows how the personas method can be adapted to support the development of human-centered AI applications, and we demonstrate this on the example of a medical context. This work is - to our knowledge - the first to provide personas for AI using an openly available Personas for AI toolbox . The toolbox contains guidelines and material supporting persona development for AI as well as templates and pictures for persona visualisation. It is ready to use and freely available to the international research and development community. Additionally, an example from medical AI is provided as a best practice use case. This work is intended to help foster the development of novel human-AI interfaces that will be urgently needed in the near future.",IEEE Access,25 February 2022,23732 - 23747,2169-3536,,10.1109/ACCESS.2022.3154776,https://doi.org/10.1109/ACCESS.2022.3154776,IEEE
A Game AI Competition to Foster Collaborative AI Research and Development,Ana Salta; Rui Prada; Francisco S. Melo; ; ; ,https://ieeexplore.ieee.org/document/9197664/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9197664,"Game artificial intelligence (AI) competitions are important to foster research and development on Game AI and AI in general. These competitions supply different challenging problems that can be translated into other contexts, virtual or real. They provide frameworks and tools to facilitate the research on their core topics and provide means for comparing and sharing results. A competition is also a way to motivate new researchers to study these challenges. In this article, we present the Geometry Friends game AI competition. Geometry Friends is a two-player cooperative physics-based puzzle platformer computer game. The concept of the game is simple, though its solving has proven to be difficult. While the main and apparent focus of the game is cooperation, it also relies on other AI-related problems such as planning, plan execution, and motion control, all connected to situational awareness. All of these must be solved in real-time. In this article, we discuss the competition and the challenges it brings, and present an overview of the current solutions.",IEEE Transactions on Games,15 September 2020,398 - 409,,,10.1109/TG.2020.3024160,https://doi.org/10.1109/TG.2020.3024160,IEEE
A Study on Performance Improvement of Prompt Engineering for Generative AI with a Large Language Model,,https://ieeexplore.ieee.org/document/10452390/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10452390,"In the realm of Generative AI, where various models are introduced, prompt engineering emerges as a significant technique within natural language processing-based Generative AI. Its primary function lies in effectively enhancing the results of sentence generation by large language models (LLMs). Notably, prompt engineering has gained attention as a method capable of improving LLM performance by modifying the structure of input prompts alone. In this study, we apply prompt engineering to Korean-based LLMs, presenting an efficient approach for generating specific conversational responses with less data. We achieve this through the utilization of the query transformation module (QTM). Our proposed QTM transforms input prompt sentences into three distinct query methods, breaking them down into objectives and key points, making them more comprehensible for LLMs. For performance validation, we employ Korean versions of LLMs, specifically SKT GPT-2 and Kakaobrain KoGPT-3. We compare four different query methods, including the original unmodified query, using Google SSA to assess the naturalness and specificity of generated sentences. The results demonstrate an average improvement of 11.46% when compared to the unmodified query, underscoring the efficacy of the proposed QTM in achieving enhanced performance.",Journal of Web Engineering,November 2023,1187 - 1206,,,10.13052/jwe1540-9589.2285,https://doi.org/10.13052/jwe1540-9589.2285,River Publishers
Toward a Policy Approach to Normative Artificial Intelligence Governance: Implications for AI Ethics Education,Dayoung Kim; Qin Zhu; Hoda Eldardiry; ; ; ,https://ieeexplore.ieee.org/document/10614075/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10614075,"There has been a trend among various stakeholders for AI governance, such as the government, industry, and academia, that advocates for a shift from traditional ethics approach to more recent policy-oriented approach. This paper starts by briefly introducing the motivation for such a change. To further help AI ethics researchers ground their discussion about how to operationalize abstract AI ethics into actionable policy, it introduces existing literature about AI policy development efforts with ethics focus. We also discuss the implications of the policy approach to normative AI governance for training the next generation of AI professionals. More specifically, this paper introduces two approaches that AI educators can employ to encourage their students to participate in policy discussions and practical exercises in AI-related courses. The insights derived from this paper hold particular significance for AI professionals, educators, and policymakers aiming to translate general AI ethics principles into operationalizable action items with broader policy implications in the design of AI systems.",IEEE Transactions on Technology and Society,29 July 2024,325 - 333,2637-6415,,10.1109/TTS.2024.3430940,https://doi.org/10.1109/TTS.2024.3430940,IEEE
Human-Centered AI in Smart Farming: Toward Agriculture 5.0,Andreas Holzinger; Iztok Fister; Iztok Fister; Hans-Peter Kaul; Senthold Asseng; ; ; ; ; ,https://ieeexplore.ieee.org/document/10510441/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10510441,"This paper delineates the contemporary landscape, challenges, and prospective developments in human-centred artificial intelligence (AI) within the ambit of smart farming, a pivotal element of the emergent Agriculture 5.0, supplanting Agriculture 4.0. Analogous to Industry 4.0, agriculture has witnessed a trend towards comprehensive automation, often marginalizing human involvement. However, this approach has encountered limitations in agricultural contexts for various reasons. While AI’s capacity to assume human tasks is acknowledged, the inclusion of human expertise and experiential knowledge (human-in-the-loop) often proves indispensable, corroborated by the Moravec’s Paradox: tasks simple for humans are complex for AI. Furthermore, social, ethical, and legal imperatives necessitate human oversight of AI, a stance strongly reflected in the European Union’s regulatory framework. Consequently, this paper explores the advancements in human-centred AI focusing on their application in agricultural processes. These technological strides aim to enhance crop yields, minimize labor and resource wastage, and optimize the farm-to-consumer supply chain. The potential of AI to augment human decision-making, thereby fostering a sustainable, efficient, and resilient agri-food sector, is a focal point of this discussion - motivated by the current worldwide extreme weather events. Finally, a framework for Agriculture 5.0 is presented, which balances technological prowess with the needs, capabilities, and contexts of human stakeholders. Such an approach, emphasizing accessible, intuitive AI systems that meaningfully complement human activities, is crucial for the successful realization of future Agriculture 5.0.",IEEE Access,30 April 2024,62199 - 62214,2169-3536,,10.1109/ACCESS.2024.3395532,https://doi.org/10.1109/ACCESS.2024.3395532,IEEE
XAI-IoT: An Explainable AI Framework for Enhancing Anomaly Detection in IoT Systems,Anna Namrita Gummadi; Jerry C. Napier; Mustafa Abdallah; ; ; ,https://ieeexplore.ieee.org/document/10534036/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10534036,"The exponential growth of Internet of Things (IoT) systems inspires new research directions on developing artificial intelligence (AI) techniques for detecting anomalies in these IoT systems. One important goal in this context is to accurately detect and anticipate anomalies (or failures) in IoT devices and identify main characteristics for such anomalies to reduce maintenance cost and minimize downtime. In this paper, we propose an explainable AI (XAI) framework for enhancing anomaly detection in IoT systems. Our framework has two main components. First, we propose AI-based anomaly detection of IoT systems where we adapt two classes of AI methods (single AI methods, and ensemble methods) for anomaly detection in smart IoT systems. Such anomaly detection aims at detecting anomaly data (from deployed sensors or network traffic between IoT devices). Second, we conduct feature importance analysis to identify the main features that can help AI models identify anomalies in IoT systems. For this feature analysis, we use seven different XAI methods for extracting important features for different AI methods and different attack types. We test our XAI framework for anomaly detection through two real-world IoT datasets. The first dataset is collected from IoT-based manufacturing sensors and the second dataset is collected from IoT botnet attacks. For the IoT-based manufacturing dataset, we detect the level of defect for data from IoT sensors. For the IoT botnet attack dataset, we detect different attack classes from different kinds of botnet attacks on the IoT network. For both datasets, we provide extensive feature importance analysis using different XAI methods for our different AI models to extract the top features. We release our codes for the community to access it for anomaly detection and feature analysis for IoT systems and to build on it with new datasets and models. Taken together, we show that accurate anomaly detection can be achieved along with understanding top ...",IEEE Access,17 May 2024,71024 - 71054,2169-3536,,10.1109/ACCESS.2024.3402446,https://doi.org/10.1109/ACCESS.2024.3402446,IEEE
An Area-Efficient Systolic Array Redundancy Architecture for Reliable AI Accelerator,Hayoung Lee; Jongho Park; Sungho Kang; ; ; ,https://ieeexplore.ieee.org/document/10587312/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10587312,"The increasing demand for data-intensive analytics, driven by the rapid advances in artificial intelligence (AI), has led to the proposal of various AI accelerators. However, as AI-based solutions are being applied to applications that require high accuracy and reliability, ensuring the dependability of these solutions has become a critical issue. In this brief, we present an area-efficient systolic array redundancy architecture for reliable AI accelerator. In the proposed architecture, computations assigned to faulty multiply-accumulate (MAC) units are bypassed using dedicated routes. Subsequently, the same computations are executed in shiftable redundant MACs or selectable redundant MACs. This ensures the correct completion of calculations all without performance reduction. Moreover, the reassignment of computations can be efficiently managed through a simple scheduling algorithm. As a result, the proposed architecture achieves a high repair rate through the redundant MACs and effective computation reassignment. Despite these capabilities, the proposed architecture incurs only a small area overhead.",IEEE Transactions on Very Large Scale Integration (VLSI) Systems,08 July 2024,1950 - 1954,,,10.1109/TVLSI.2024.3421563,https://doi.org/10.1109/TVLSI.2024.3421563,IEEE
Unleashing the Power of Edge-Cloud Generative AI in Mobile Networks: A Survey of AIGC Services,Minrui Xu; Hongyang Du; Dusit Niyato; Jiawen Kang; Zehui Xiong; Shiwen Mao; Zhu Han; Abbas Jamalipour; Dong In Kim; Xuemin Shen; Victor C. M. Leung; H. Vincent Poor; ; ; ; ; ; ; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/10398474/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10398474,"Artificial Intelligence-Generated Content (AIGC) is an automated method for generating, manipulating, and modifying valuable and diverse data using AI algorithms creatively. This survey paper focuses on the deployment of AIGC applications, e.g., ChatGPT and Dall-E, at mobile edge networks, namely mobile AIGC networks, that provide personalized and customized AIGC services in real time while maintaining user privacy. We begin by introducing the background and fundamentals of generative models and the lifecycle of AIGC services at mobile AIGC networks, which includes data collection, training, fine-tuning, inference, and product management. We then discuss the collaborative cloud-edge-mobile infrastructure and technologies required to support AIGC services and enable users to access AIGC at mobile edge networks. Furthermore, we explore AIGC-driven creative applications and use cases for mobile AIGC networks. Additionally, we discuss the implementation, security, and privacy challenges of deploying mobile AIGC networks. Finally, we highlight some future research directions and open issues for the full realization of mobile AIGC networks.",IEEE Communications Surveys & Tutorials,12 January 2024,1127 - 1170,,,10.1109/COMST.2024.3353265,https://doi.org/10.1109/COMST.2024.3353265,IEEE
"Exploring the Effect of Generative AI on Social Sustainability Through Integrating AI Attributes, TPB, and T-EESST: A Deep Learning-Based Hybrid SEM-ANN Approach",Mostafa Al-Emran; Bassam Abu-Hijleh; AbdulRahman A. Alsewari; ; ; ,https://ieeexplore.ieee.org/document/10670553/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10670553,"The swift progress of generative artificial intelligence (AI) tools offers remarkable potential for revolutionizing educational methods and enhancing social sustainability. Despite its potential, understanding the factors driving its adoption and how that affects social sustainability remains underexplored. This study aims to address this gap by integrating AI attributes (“perceived anthropomorphism,” “perceived intelligence,” and “perceived animacy”) with the theory of planned behavior and the technology-environmental, economic, and social sustainability theory (T-EESST) to develop a theoretical research model. Utilizing a hybrid structural equation modeling and artificial neural network approach, we analyzed data collected from 1048 university students to evaluate the developed model. Our findings revealed that while perceived behavioral control has an insignificant impact on generative AI use, attitudes emerge as the most critical factor, further reinforced by the significant role of subjective norms. Perceived anthropomorphism, perceived intelligence, and perceived animacy were also found to influence students’ attitudes significantly. More importantly, the findings supported the role of generative AI in positively affecting social sustainability, aligning with the principles of T-EESST. This study's significance lies in its holistic examination of the interplay between technological attributes, motivational aspects, and sustainability outcomes, offering valuable insights for various stakeholders.",IEEE Transactions on Engineering Management,10 September 2024,14512 - 14524,,,10.1109/TEM.2024.3454169,https://doi.org/10.1109/TEM.2024.3454169,IEEE
The Ethics of AI in Games,David Melhart; Julian Togelius; Benedikte Mikkelsen; Christoffer Holmgård; Georgios N. Yannakakis; ; ; ; ; ,https://ieeexplore.ieee.org/document/10125072/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10125072,"Video games are one of the richest and most popular forms of human-computer interaction and, hence, their role is critical for our understanding of human behaviour and affect at a large scale. As artificial intelligence (AI) tools are gradually adopted by the game industry a series of ethical concerns arise. Such concerns, however, have so far not been extensively discussed in a video game context. Motivated by the lack of a comprehensive review on the ethics of AI as applied to games, we survey the current state of the art in this area and discuss ethical considerations of these systems from the holistic perspective of the affective loop . Through the components of this loop, we study the ethical challenges that AI faces in video game development. Elicitation highlights the ethical boundaries of artificially induced emotions; sensing showcases the trade-off between privacy and safe gaming spaces; and detection , as utilised during in-game adaptation , poses challenges to transparency and ownership. This paper calls for an open dialogue and action for the games of today and the virtual spaces of the future. By setting an appropriate framework we aim to protect users and to guide developers towards safer and better experiences for their customers.",IEEE Transactions on Affective Computing,16 May 2023,79 - 92,,,10.1109/TAFFC.2023.3276425,https://doi.org/10.1109/TAFFC.2023.3276425,IEEE
