Title,Authors,HTML Link,PDF Link,Abstract,Published in,Date of Publication,Page(s),Electronic ISSN,PubMed ID,DOI,DOI Link,Publisher
Real-Time Big Data Analytical Architecture for Remote Sensing Application,Muhammad Mazhar Ullah Rathore; Anand Paul; Awais Ahmad; Bo-Wei Chen; Bormin Huang; Wen Ji; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/7109130/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7109130,"The assets of remote senses digital world daily generate massive volume of real-time data (mainly referred to the term “Big Data”), where insight information has a potential significance if collected and aggregated effectively. In today's era, there is a great deal added to real-time remote sensing Big Data than it seems at first, and extracting the useful information in an efficient manner leads a system toward a major computational challenges, such as to analyze, aggregate, and store, where data are remotely collected. Keeping in view the above mentioned factors, there is a need for designing a system architecture that welcomes both real-time, as well as offline data processing. Therefore, in this paper, we propose real-time Big Data analytical architecture for remote sensing satellite application. The proposed architecture comprises three main units, such as 1) remote sensing Big Data acquisition unit (RSDU); 2) data processing unit (DPU); and 3) data analysis decision unit (DADU). First, RSDU acquires data from the satellite and sends this data to the Base Station, where initial processing takes place. Second, DPU plays a vital role in architecture for efficient processing of real-time Big Data by providing filtration, load balancing, and parallel processing. Third, DADU is the upper layer unit of the proposed architecture, which is responsible for compilation, storage of the results, and generation of decision based on the results received from DPU. The proposed architecture has the capability of dividing, load balancing, and parallel processing of only useful data. Thus, it results in efficiently analyzing real-time remote sensing Big Data using earth observatory system. Furthermore, the proposed architecture has the capability of storing incoming raw data to perform offline analysis on largely stored dumps, when required. Finally, a detailed analysis of remotely sensed earth observatory Big Data for land and sea area are provided using Hadoop. In addition, va...",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,15 May 2015,4610 - 4621,,,10.1109/JSTARS.2015.2424683,https://doi.org/10.1109/JSTARS.2015.2424683,IEEE
"Harnessing Big Data Analytics for Healthcare: A Comprehensive Review of Frameworks, Implications, Applications, and Impacts",Awais Ahmed; Rui Xi; Mengshu Hou; Syed Attique Shah; Sufian Hameed; ; ; ; ; ,https://ieeexplore.ieee.org/document/10274958/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10274958,"Big Data Analytics (BDA) has garnered significant attention in both academia and industries, particularly in sectors such as healthcare, owing to the exponential growth of data and advancements in technology. The integration of data from diverse sources and the utilization of advanced analytical techniques has the potential to revolutionize healthcare by improving diagnostic accuracy, enabling personalized medicine, and enhancing patient outcomes. In this paper, we aim to provide a comprehensive literature review on the application of big data analytics in healthcare, focusing on its ecosystem, applications, and data sources. To achieve this, an extensive analysis of scientific studies published between 2013 and 2023 was conducted and overall 180 scientific studies were thoroughly evaluated, establishing a strong foundation for future research and identifying collaboration opportunities in the healthcare domain. The study delves into various application areas of BDA in healthcare, highlights successful implementations, and explores their potential to enhance healthcare outcomes while reducing costs. Additionally, it outlines the challenges and limitations associated with BDA in healthcare, discusses modelling tools and techniques, showcases deployed solutions, and presents the advantages of BDA through various real-world use cases. Furthermore, this study identifies and discusses key open research challenges in the field of big data analytics in healthcare, aiming to push the boundaries and contribute to enhanced healthcare outcomes and decision-making processes.",IEEE Access,10 October 2023,112891 - 112928,2169-3536,,10.1109/ACCESS.2023.3323574,https://doi.org/10.1109/ACCESS.2023.3323574,IEEE
Protection of Big Data Privacy,Abid Mehmood; Iynkaran Natgunanathan; Yong Xiang; Guang Hua; Song Guo; ; ; ; ; ,https://ieeexplore.ieee.org/document/7460114/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7460114,"In recent years, big data have become a hot research topic. The increasing amount of big data also increases the chance of breaching the privacy of individuals. Since big data require high computational power and large storage, distributed systems are used. As multiple parties are involved in these systems, the risk of privacy violation is increased. There have been a number of privacy-preserving mechanisms developed for privacy protection at different stages (e.g., data generation, data storage, and data processing) of a big data life cycle. The goal of this paper is to provide a comprehensive overview of the privacy preservation mechanisms in big data and present the challenges for existing mechanisms. In particular, in this paper, we illustrate the infrastructure of big data and the state-of-the-art privacy-preserving mechanisms in each stage of the big data life cycle. Furthermore, we discuss the challenges and future research directions related to privacy preservation in big data.",IEEE Access,27 April 2016,1821 - 1834,2169-3536,,10.1109/ACCESS.2016.2558446,https://doi.org/10.1109/ACCESS.2016.2558446,IEEE
Big Data Meet Green Challenges: Big Data Toward Green Applications,Jinsong Wu; Song Guo; Jie Li; Deze Zeng; ; ; ; ,https://ieeexplore.ieee.org/document/7473815/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7473815,"Big data are widely recognized as being one of the most powerful drivers to promote productivity, improve efficiency, and support innovation. It is highly expected to explore the power of big data and turn big data into big values. To answer the interesting question whether there are inherent correlations between the two tendencies of big data and green challenges, a recent study has investigated the issues on greening the whole life cycle of big data systems. This paper would like to discover the relations between the trend of big data era and that of the new generation green revolution through a comprehensive and panoramic literature survey in big data technologies toward various green objectives and a discussion on relevant challenges and future directions.",IEEE Systems Journal,19 May 2016,888 - 900,,,10.1109/JSYST.2016.2550530,https://doi.org/10.1109/JSYST.2016.2550530,IEEE
Leveraging Big Data Analytics for Enhanced Clinical Decision-Making in Healthcare,Fatima Hussain; Muhammad Nauman; Abdullah Alghuried; Adi Alhudhaif; Nadeem Akhtar; ; ; ; ; ,https://ieeexplore.ieee.org/document/10314483/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10314483,"Recently, the rate of data generation has reached unprecedented levels, leading to a huge amount of data volume. In addition, modern-day computing systems generate data in diverse formats, ranging from unstructured to structured and semi-structured. As technological advancements experience exponential growth, novel trends, and strategies are emerging in the field of Big Data to enhance data quality and derive valuable insights, particularly in industries like healthcare. The primary objective of this study is to investigate the challenges and applications of Big Data in healthcare, with a specific focus on improving clinical decision-making. By analyzing 185 papers published between 2012 and 2023, this review article aims to provide a comprehensive overview of the techniques and methods employed in utilizing Big Data Analytics in the healthcare domain. Furthermore, the article aspires to assist the research community in identifying suitable approaches and methodologies for their healthcare-related studies.",IEEE Access,09 November 2023,127817 - 127836,2169-3536,,10.1109/ACCESS.2023.3332030,https://doi.org/10.1109/ACCESS.2023.3332030,IEEE
"A Comprehensive Analysis of Healthcare Big Data Management, Analytics and Scientific Programming",Shah Nazir; Sulaiman Khan; Habib Ullah Khan; Shaukat Ali; Iván García-Magariño; Rodziah Binti Atan; Muhammad Nawaz; ; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/9096305/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9096305,"Healthcare systems are transformed digitally with the help of medical technology, information systems, electronic medical records, wearable and smart devices, and handheld devices. The advancement in the medical big data, along with the availability of new computational models in the field of healthcare, has enabled the caretakers and researchers to extract relevant information and visualize the healthcare big data in a new spectrum. The role of medical big data becomes a challenging task in the form of storage, required information retrieval within a limited time, cost efficient solutions in terms care, and many others. Early decision making based healthcare system has massive potential for dropping the cost of care, refining quality of care, and reducing waste and error. Scientific programming play a significant role to overcome the existing issues and future problems involved in the management of large scale data in healthcare, such as by assisting in the processing of huge data volumes, complex system modelling, and sourcing derivations from healthcare data and simulations. Therefore, to address this problem efficiently a detailed study and analysis of the available literature work is required to facilitate the doctors and practitioners for making the decisions in identifying the disease and suggest treatment accordingly. The peer reviewed reputed journals are selected for the accumulated of published research work during the period ranges from 2015 - 2019 (a portion of 2020 is also included). A total of 127 relevant articles (conference papers, journal papers, book section, and survey papers) are selected for the assessment and analysis purposes. The proposed research work organizes and summarizes the existing published research work based on the research questions defined and keywords identified for the search process. This analysis on the existence research work will help the doctors and practitioners to make more authentic decisions, which ultimately will he...",IEEE Access,19 May 2020,95714 - 95733,2169-3536,,10.1109/ACCESS.2020.2995572,https://doi.org/10.1109/ACCESS.2020.2995572,IEEE
Data mining with big data,Xindong Wu; Xingquan Zhu; Gong-Qing Wu; Wei Ding; ; ; ; ,https://ieeexplore.ieee.org/document/6547630/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6547630,"Big Data concern large-volume, complex, growing data sets with multiple, autonomous sources. With the fast development of networking, data storage, and the data collection capacity, Big Data are now rapidly expanding in all science and engineering domains, including physical, biological and biomedical sciences. This paper presents a HACE theorem that characterizes the features of the Big Data revolution, and proposes a Big Data processing model, from the data mining perspective. This data-driven model involves demand-driven aggregation of information sources, mining and analysis, user interest modeling, and security and privacy considerations. We analyze the challenging issues in the data-driven model and also in the Big Data revolution.",IEEE Transactions on Knowledge and Data Engineering,26 June 2013,97 - 107,,,10.1109/TKDE.2013.109,https://doi.org/10.1109/TKDE.2013.109,IEEE
A Framework for Big Data Governance to Advance RHINs: A Case Study of China,Quan Li; Lan Lan; Nianyin Zeng; Lei You; Jin Yin; Xiaobo Zhou; Qun Meng; ; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/8689011/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8689011,"The emergence of big data presents a serious challenge to the fast growth of regional health information networks (RHINs) globally. In China, many constructors of RHINs have spontaneously and independently created governance measures, which may be valuable as a point of reference for other countries. This paper aimed to propose a big data governance framework for healthcare data based on the governance activities associated with the processing of RHINs in China. Typical methodology for RHIN case studies in China, including rich personal experience in nationwide consulting, literature review, expert consultation, and interpretative structural modeling methods, was adopted. Based on the analysis of ten typical RHIN case studies, healthcare big data governance practices in China were summarized. A framework with 3 domains and 12 elements was proposed, which include a drive domain (big data strategy planning, laws and regulations, open transaction, and industry support), capability domain (healthcare big data organization, collection, storage, process and analysis, and usage), and support domain (healthcare big data resource planning, standards system, and privacy and security protection). We obtained 12 guidelines for healthcare big data governance. A big data governance framework with 3 domains and 12 elements was presented based on Chinese practice, which might serve as valuable references for the cross-dimensional development of RHINs, provide overall guidance for the sustainable development of regional health informatization, and contribute to realizing the business value of healthcare big data.",IEEE Access,12 April 2019,50330 - 50338,2169-3536,,10.1109/ACCESS.2019.2910838,https://doi.org/10.1109/ACCESS.2019.2910838,IEEE
A Comprehensive Review on Big Data for Industries: Challenges and Opportunities,Supriya Sarker; Mohammad Shamsul Arefin; Md Kowsher; Touhid Bhuiyan; Pranab Kumar Dhar; Oh-Jin Kwon; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/9999445/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9999445,"Technological advancements in large industries like power, minerals, and manufacturing are generating massive data every second. Big data techniques have opened up numerous opportunities to utilize massive datasets in several effective ways to improve the efficacy of related industries. This paper presents a review of big data technologies used in the power, mineral, and manufacturing industries for various purposes. We analyze the meta-data of the collected papers before reviewing and selecting papers by applying selection criteria and paper quality assessment strategy. Then we propose a taxonomy of big data application areas in the power, mineral, and manufacturing industries. We have studied current big data architectures and techniques implemented in industry sectors and have uncovered the big data research gaps in industry sectors. To address the gaps, we point out some relevant research questions and, to answer the questions, we make some future research recommendations that might explore interesting research ideas for building a big data-driven industry. As the careful use of big data benefits every other industry sector; hence, supportive big data frameworks need to be developed to speed up the big data analysis process. Proper multi-dimensional big data assessment is also needed to take into account for serving effective data analysis tasks. Industry automation is also heavily influenced by the proper utilization of big data. While an intelligent agent can make many processes and heavy production loads in the manufacturing industry, it can work in a risky environment such as mines efficiently. To train agents for working in a specific environment big data can be used.",IEEE Access,26 December 2022,744 - 769,2169-3536,,10.1109/ACCESS.2022.3232526,https://doi.org/10.1109/ACCESS.2022.3232526,IEEE
"Big Data, Big Knowledge: Big Data for Personalized Healthcare",Marco Viceconti; Peter Hunter; Rod Hose; ; ; ,https://ieeexplore.ieee.org/document/7047725/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7047725,"The idea that the purely phenomenological knowledge that we can extract by analyzing large amounts of data can be useful in healthcare seems to contradict the desire of VPH researchers to build detailed mechanistic models for individual patients. But in practice no model is ever entirely phenomenological or entirely mechanistic. We propose in this position paper that big data analytics can be successfully combined with VPH technologies to produce robust and effective in silico medicine solutions. In order to do this, big data technologies must be further developed to cope with some specific requirements that emerge from this application. Such requirements are: working with sensitive data; analytics of complex and heterogeneous data spaces, including nontextual information; distributed data management under security and performance constraints; specialized analytics to integrate bioinformatics and systems biology information with clinical observations at tissue, organ and organisms scales; and specialized analytics to define the “physiological envelope” during the daily life of each patient. These domain-specific requirements suggest a need for targeted funding, in which big data technologies for in silico medicine becomes the research priority.",IEEE Journal of Biomedical and Health Informatics,24 February 2015,1209 - 1215,,26218867,10.1109/JBHI.2015.2406883,https://doi.org/10.1109/JBHI.2015.2406883,IEEE
A Comparative Perspective on Technologies of Big Data Value Chain,Ahmet Arif Aydin; ,https://ieeexplore.ieee.org/document/10281364/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10281364,"Data is one of the most valuable assets in the digital era because it may conceal hidden valuable insights. Diverse organizations in diverse domains overcome the challenges of the big data value chain by employing a wide range of technologies to meet their needs and achieve a variety of goals to support their decision-making. Due to the significance of data-oriented technologies, this paper presents a model of the big data value chain based on technologies used in the acquisition, storage, and analysis of data. The following are the paper’s contributions: First, a model of the big data value chain is developed to illustrate a comprehensive representation of the big data value chain that depicts the relationships between the characteristics of big data and the technologies associated with each category. Second, in contrast to previous research, this paper presents an overview of technologies for each category of the big data value chain. The third contribution of this paper is to assist researchers and developers of data-intensive systems in selecting the appropriate technology for their specific application development use cases by providing examples of applications and use cases from prominent papers in a variety of fields and by describing the capabilities and stages of the technologies being presented so that the right technology is used at the right time in the big data collection, processing, storage, and analytics tasks.",IEEE Access,11 October 2023,112133 - 112146,2169-3536,,10.1109/ACCESS.2023.3323160,https://doi.org/10.1109/ACCESS.2023.3323160,IEEE
A Survey on Big Data for Network Traffic Monitoring and Analysis,Alessandro D’Alconzo; Idilio Drago; Andrea Morichetta; Marco Mellia; Pedro Casas; ; ; ; ; ,https://ieeexplore.ieee.org/document/8789667/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8789667,"Network Traffic Monitoring and Analysis (NTMA) represents a key component for network management, especially to guarantee the correct operation of large-scale networks such as the Internet. As the complexity of Internet services and the volume of traffic continue to increase, it becomes difficult to design scalable NTMA applications. Applications such as traffic classification and policing require real-time and scalable approaches. Anomaly detection and security mechanisms require to quickly identify and react to unpredictable events while processing millions of heterogeneous events. At last, the system has to collect, store, and process massive sets of historical data for post-mortem analysis. Those are precisely the challenges faced by general big data approaches: Volume, Velocity, Variety, and Veracity. This survey brings together NTMA and big data. We catalog previous work on NTMA that adopt big data approaches to understand to what extent the potential of big data is being explored in NTMA. This survey mainly focuses on approaches and technologies to manage the big NTMA data, additionally briefly discussing big data analytics (e.g., machine learning) for the sake of NTMA. Finally, we provide guidelines for future work, discussing lessons learned, and research directions.",IEEE Transactions on Network and Service Management,06 August 2019,800 - 813,,,10.1109/TNSM.2019.2933358,https://doi.org/10.1109/TNSM.2019.2933358,IEEE
An Iterative Methodology for Defining Big Data Analytics Architectures,Roberto Tardío; Alejandro Maté; Juan Trujillo; ; ; ,https://ieeexplore.ieee.org/document/9264179/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9264179,"Thanks to the advances achieved in the last decade, the lack of adequate technologies to deal with Big Data characteristics such as Data Volume is no longer an issue. Instead, recent studies highlight that one of the main Big Data issues is the lack of expertise to select adequate technologies and build the correct Big Data architecture for the problem at hand. In order to tackle this problem, we present our methodology for the generation of Big Data pipelines based on several requirements derived from Big Data features that are critical for the selection of the most appropriate tools and techniques. Thus, thanks to our approach we reduce the required know-how to select and build Big Data architectures by providing a step-by-step methodology that leads Big Data architects into creating their Big Data Pipelines for the case at hand. Our methodology has been tested in two use cases.",IEEE Access,19 November 2020,210597 - 210616,2169-3536,,10.1109/ACCESS.2020.3039455,https://doi.org/10.1109/ACCESS.2020.3039455,IEEE
