_id,title,keywords[0],keywords[1],keywords[2],keywords[3],keywords[4],keywords[5],keywords[6],authors[0],authors[1],authors[2],authors[3],authors[4],authors[5],authors[6],universeties[0],universeties[1],universeties[2],universeties[3],universeties[4],universeties[5],universeties[6],countries[0],countries[1],countries[2],countries[3],countries[4],countries[5],countries[6],year,month,journal,doi,issn,quartile,_class
6559eb64d98eae5efd9baaa4,Performance Evaluation of Data Transactions in Blockchain, Blockchains, Benchmark testing, IEEE transactions, Costs, Computer science, Bitcoin, Performance evaluation,Antonio Welligton dos Santos Abreu,Emanuel Ferreira Coutinho,Carla Ilane Moreira Bezerra,,,,,"Universidade Federal do Ceara, BR",,,,,,,Brazil,,,,,,,2021,December,IEEE,10.1109/TLA.2022.9667139,1548-0992,Q4,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559eb83d98eae5efd9baaa5,TRUCON: Blockchain-Based Trusted Data Sharing With Congestion Control in Internet of Vehicles, Blockchains, Trust management, Electronic mail, Computer science, Internet of Vehicles, Roads, Accidents,Mingyang Yuan,Yang Xu,Cheng Zhang,Yunlin Tan,Yichuan Wang,Ju Ren,Yaoxue Zhang,"School of Computer Science and Engineering, Central South University, Changsha, China","College of Computer Science and Electronic Engineering, Hunan University, Changsha, China","School of Computer Science and Engineering, Xi’an University of Technology, Xi’an, China","Department of Computer Science and Technology, BNRist, Tsinghua University, Beijing, China",,,,China,,,,,,,2022,December,IEEE,10.1109/TITS.2022.3226500,1558-0016,Q2,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559eba6d98eae5efd9baaa6,Blockchain and Smart Contracts for Telecommunications: Requirements vs. Cost Analysis, Blockchains, Telecommunications, Costs, Ecosystems, 5G mobile communication, Scalability, Consensus protocol,Nima Afraz,Francesc Wilhelmi,Hamed Ahmadi,Marco Ruffini,,,,"Radio Systems Research, Nokia Bell Labs, Stuttgart, Germany","CONNECT Centre, School of Computer Science and Statistics, Trinity College Dublin, Dublin 2, Ireland","School of Physics Engineering and Technology, University of York, York, U.K","CONNECT Centre, School of Computer Science, University College Dublin, Dublin 4, Ireland",,,,United Kingdom,Ireland,Germany,,,,,2023,August,IEEE,10.1109/ACCESS.2023.3309423,2169-3536,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559ebc5d98eae5efd9baaa7,End-to-End Latency Analysis and Optimal Block Size of Proof-of-Work Blockchain Applications, Blockchains, Delays, Optimization, Numerical models, Data models, Steady-state, Queueing analysis,Francesc Wilhelmi,Sergio Barrachina-Muñoz,Paolo Dini,,,,,"Centre Tecnològic de Telecomunicacions de Catalunya (CTTC/CERCA), Barcelona, Spain",,,,,,,Spain,,,,,,,2022,July,IEEE,10.1109/LCOMM.2022.3194561,1558-2558,,ma.ac.fstt.scrapingwithselenium.models.Article
6559ebe5d98eae5efd9baaa8,Blockchain-Empowered Collaborative Task Offloading for Cloud-Edge-Device Computing, Task analysis, Blockchains, Resource management, Optimization, Delays, Reinforcement learning, Smart contracts,Su Yao,Mu Wang,Qiang Qu,Ziyi Zhang,Yi-Feng Zhang,Ke Xu,Mingwei Xu,"Blockchain Laboratory, Huawei Cloud Tech Company, Shenzhen, China","Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University, Beijing, China",,,,,,China,,,,,,,2022,October,IEEE,10.1109/JSAC.2022.3213358,1558-0008,,ma.ac.fstt.scrapingwithselenium.models.Article
6559ec03d98eae5efd9baaa9,A Blockchained Federated Learning Framework for Cognitive Computing in Industry 4.0 Networks, Collaborative work, Cognitive systems, Industries, Blockchain, Computational modeling, Data privacy, Privacy,Youyang Qu,Shiva Raj Pokhrel,Sahil Garg,Longxiang Gao,Yong Xiang,,,"Deakin Blockchain Innovation Lab. School of Information Technology, Deakin University, Burwood, VIC, Australia","École de technologie supérieure, Montreal, Quebec, Canada",,,,,,Canada,Australia,,,,,,2020,July,IEEE,10.1109/TII.2020.3007817,1941-0050,,ma.ac.fstt.scrapingwithselenium.models.Article
6559ec20d98eae5efd9baaaa,Electronic Voting Using Blockchain And Smart Contracts: Proof Of Concept, Blockchain, Smart contracts, Electronic voting, Cryptography, IEEE transactions, Bitcoin, Stimulated emission,Fáber D. Giraldo,Barbosa Milton C.,Carlos E. Gamboa,,,,,"Univ. of Quindio, China",,,,,,,China,,,,,,,2020,October,IEEE,10.1109/TLA.2020.9387645,1548-0992,Q4,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559ec3ed98eae5efd9baaab,A Tractable Probabilistic Approach to Analyze Sybil Attacks in Sharding-Based Blockchain Protocols, Blockchains, Security, Bitcoin, Resilience, Probabilistic logic, Consensus protocol, Scalability,Abdelatif Hafid,Abdelhakim Senhaji Hafid,Mustapha Samih,,,,,"Department of Mathematics, Faculty of Sciences, Team of EDA – Mathematical Laboratory and their Applications, University of Moulay Ismail, Meknes, Morocco","Department of Computer Science and Operational Research, Montreal Blockchain Laboratory (MBL), University of Montreal, Montreal, QC, Canada",,,,,,Canada,Morocco,,,,,,2022,June,IEEE,10.1109/TETC.2022.3179638,2168-6750,Q3,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559ec5cd98eae5efd9baaac,The Seven Capital Sins in the Governance of Blockchain Ecosystems, Blockchains, Ecosystems, Business, Behavioral sciences, Costs, Collaboration, Scalability,Birgitte van Haaren-van Duijn,Jaime Bonnin Roca,A. Georges L. Romme,Mathieu Weggeman,,,,"Department of Industrial Engineering and Innovation Sciences, Eindhoven University of Technology, Eindhoven, The Netherlands",,,,,,,Netherlands,,,,,,,2023,May,IEEE,10.1109/EMR.2023.3280130,1937-4178,,ma.ac.fstt.scrapingwithselenium.models.Article
6559ec7cd98eae5efd9baaad,BIdM: A Blockchain-Enabled Cross-Domain Identity Management System, Blockchain, Authentication, Identity management systems, Scalability, Public key, Privacy, Electronic mail,Ruibiao Chen,Fangxing Shu,Shuokang Huang,Lei Huang,Huafang Liu,Jin Liu,Kai Lei,"Peng Cheng Laboratory, PCL Research Center of Networks and Communications, Shenzhen, China","School of Electronics Engineering and Computer Science, Peking University, Shenzhen, China",,,,,,China,,,,,,,2021,March,IEEE,10.23919/JCIN.2021.9387704,2509-3312,Q2,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559ec99d98eae5efd9baaae,Blockchain-Based Spectrum Management Architecture and Trading Mechanism Design for Space-Air-Ground Integrated Network, Blockchains, Interference, Space-air-ground integrated networks, Radio spectrum management, Base stations, Pricing, Mobile nodes,Weihan Wang,Youping Zhao,,,,,,"School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China",,,,,,,China,,,,,,,2023,August,IEEE,10.1109/LCOMM.2023.3308097,1558-2558,,ma.ac.fstt.scrapingwithselenium.models.Article
6559ecb7d98eae5efd9baaaf,Evaluation of the abstraction of optical topology models in blockchain-based data center interconnection, Blockchains, Optical fiber networks, Topology, Data models, Network topology, Computer architecture, Peer-to-peer computing,Pol Alemany,Ricard Vilalta,Raul Munoz,Ramon Casellas,Ricardo Martinez,,,"Centre Tecnològic de Telecomunicacions de Catalunya, Barcelona, Spain",,,,,,,Spain,,,,,,,2022,February,IEEE,10.1364/JOCN.447833,1943-0639,,ma.ac.fstt.scrapingwithselenium.models.Article
6559ecd7d98eae5efd9baab0,A Blockchain-Based Cross-Domain and Autonomous Access Control Scheme for Internet of Things, Access control, Blockchains, Internet of Things, Servers, Security, Authentication, Bitcoin,Xiaohan Hao,Wei Ren,Yangyang Fei,Tianqing Zhu,Kim-Kwang Raymond Choo,,,"State Key Laboratory of Public Big Data, Guizhou University, Guiyang, China","School of Computer Science, China University of Geosciences, Wuhan, China","Department of Information Systems and Cyber Security, University of Texas at San Antonio, San Antonio, TX, USA","State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, Henan, China",,,,USA,China,,,,,,2022,June,IEEE,10.1109/TSC.2022.3179727,1939-1374,Q3,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559ecffd98eae5efd9baab1,A Proxy Re-Encryption Approach to Secure Data Sharing in the Internet of Things Based on Blockchain, Blockchain, Cryptography, Access control, Encryption, Data privacy, Servers, Protocols,Kwame Opuni-Boachie Obour Agyekum,Qi Xia,Emmanuel Boateng Sifah,Christian Nii Aflah Cobblah,Hu Xia,Jianbin Gao,,"School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China",,,,,,,China,,,,,,,2021,May,IEEE,10.1109/JSYST.2021.3076759,1937-9234,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f1cce7c1455e28cba4c0,A Blockchain-Based Trusted Upload Scheme for the Internet of Things Nodes, Privacy, Soft sensors, Scalability, Linked data, Memory, Hardware, Internet of Things,Yulei Jiao,Cexun Wang,,,,,,"Beijing Academy of Blockchain and Edge Computing, Beijing, China",,,,,,,China,,,,,,,2022,June,IEEE,10.26599/IJCS.2022.9100010,2398-7294,Q3,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f1ebe7c1455e28cba4c1,Speeding at the Edge: An Efficient and Secure Redactable Blockchain for IoT-Based Smart Grid Systems, Blockchains, Smart grids, Edge computing, Security, Interpolation, Reliability, Public key,Youshui Lu,Xiaojun Tang,Lei Liu,F. Richard Yu,Schahram Dustdar,,,"Distributed Systems Group, Vienna University of Technology, Vienna, Austria","School of Electrical Engineering, Xi’an Jiaotong University, Xi’an, China","Guangzhou Institute of Technology, Xidian University, Guangzhou, China","Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada",,,,Canada,Austria,China,,,,,2023,March,IEEE,10.1109/JIOT.2023.3253601,2327-4662,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f20fe7c1455e28cba4c2,Mapping the Knowledge on Blockchain Technology in the Field of Business and Management: A Bibliometric Analysis, Blockchains, Business, Production, Market research, Couplings, Software, Visualization,Jinglan Yang,Chaoqun Ma,Dengjia Li,Jianghuai Liu,,,,"Department of Electrical and Computer Engineering, University of Illinois at Urbana–Champaign, Urbana, IL, USA","Business School, Hunan University, Changsha, China",,,,,,USA,China,,,,,,2022,June,IEEE,10.1109/ACCESS.2022.3179714,2169-3536,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f22ee7c1455e28cba4c3,Task offloading strategy with emergency handling and blockchain security in SDN-empowered and fog-assisted healthcare IoT, Medical services, Blockchains, Security, Task analysis, Edge computing, Low latency communication, Reliability,Junyu Ren,Jinze Li,Huaxing Liu,Tuanfa Qin,,,,"Guangxi Key Laboratory of Multimedia Communications and Network Technology, Guangxi University, Nanning, China","Trinity College, University of Cambridge, Cambridge, UK","School of Electronic and Information Engineering, South China University of Technology, Nanning, China",,,,,China,United Kingdom,,,,,,2021,December,IEEE,10.26599/TST.2021.9010046,1007-0214,Q3,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f24be7c1455e28cba4c4,Can Blockchain Capabilities Contribute to Sustainable Supply-Chain Governance?, Blockchains, Supply chains, Standards, Companies, Sustainable development, Regulation, Heating systems,Luis Kleinknecht,,,,,,,"Worcester Polytechnic Institute, Worcester, MA, USA",,,,,,,USA,,,,,,,2021,October,IEEE,10.1109/EMR.2021.3123205,1937-4178,,ma.ac.fstt.scrapingwithselenium.models.Article
6559f269e7c1455e28cba4c5,"Permissionless and Permissioned, Technology-Focused and Business Needs-Driven: Understanding the Hybrid Opportunity in Blockchain Through a Case Study of Insolar", Blockchain, Interoperability, Bitcoin, Stakeholders, Analytical models,,,Henry M. Kim,Hjalmar Turesson,Marek Laskowski,Amir Fard Bahreini,,,,"Sauder School of Business, University of British Columbia, Vancouver, BC, Canada","Schulich School of Business, York University, Toronto, ON, Canada",,,,,,Canada,,,,,,,2020,July,IEEE,10.1109/TEM.2020.3003565,1558-0040,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f28ce7c1455e28cba4c6,A Systematic Literature Review Toward a Blockchain Benchmarking Framework, Blockchains, Bibliographies, Systematics, Protocols, Consensus algorithm, Libraries, Planning,Marios Touloupou,Marinos Themistocleous,Elias Iosif,Klitos Christodoulou,,,,"Department of Digital Innovation, University of Nicosia, Nicosia, Cyprus",,,,,,,Cyprus,,,,,,,2022,July,IEEE,10.1109/ACCESS.2022.3188123,2169-3536,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f2b0e7c1455e28cba4c7,Exploring Sybil and Double-Spending Risks in Blockchain Systems, Blockchain, Security, Peer-to-peer computing, Bitcoin, Smart contracts, Business, Risk management,Mubashar Iqbal,Raimundas Matulevičius,,,,,,"Institute of Computer Science, University of Tartu, Tartu, Estonia",,,,,,,Estonia,,,,,,,2021,May,IEEE,10.1109/ACCESS.2021.3081998,2169-3536,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f2cfe7c1455e28cba4c8,On Consortium Blockchain Consistency: A Queueing Network Model Approach, Blockchain, Protocols, Queueing analysis, Fabrics, Delays, Analytical models, Distributed ledger,Tianhui Meng,Yubin Zhao,Katinka Wolter,Cheng-Zhong Xu,,,,"School of Microelectronics Science and Technology, Sun Yat-Sen University, Zhuhai, China","Department of Mathematics and Computer Science, Freie Universität Berlin, Berlin, Germany","State Key Lab of IoTSC & Department of Computer and Information Science, University of Macau, Macau, China","Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China",,,,China,Germany,,,,,,2021,January,IEEE,10.1109/TPDS.2021.3049915,1558-2183,,ma.ac.fstt.scrapingwithselenium.models.Article
6559f2f2e7c1455e28cba4c9,Towards Post-Quantum Blockchain: A Review on Blockchain Cryptography Resistant to Quantum Computing Attacks, Blockchain, Hash functions, Elliptic curve cryptography, Quantum computing,,,,Tiago M. Fernández-Caramès,Paula Fraga-Lamas,,,,,,"Department of Computer Engineering, Faculty of Computer Science, Centro de Investigación CITIC, Universidade da Coruña, Coruña, Spain",,,,,,,Spain,,,,,,,2020,January,IEEE,10.1109/ACCESS.2020.2968985,2169-3536,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f323e7c1455e28cba4ca,Scaling Blockchains: A Comprehensive Survey, Blockchain, Scalability, Protocols, Bitcoin, Peer-to-peer computing, Taxonomy,,Abdelatif Hafid,Abdelhakim Senhaji Hafid,Mustapha Samih,,,,,"Department of Computer Science and Operational Research, Montreal Blockchain Laboratory, University of Montreal, Montreal, Canada","Department of Mathematics, Faculty of Sciences, Team of EDA–Mathematical Laboratory and their Applications, University of Moulay Ismail, Meknes, Morocco",,,,,,Canada,Morocco,,,,,,2020,July,IEEE,10.1109/ACCESS.2020.3007251,2169-3536,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f34ae7c1455e28cba4cb,"When Blockchain Meets SGX: An Overview, Challenges, and Open Issues", Contracts, Containers, Peer-to-peer computing, Software, Bitcoin,,,Zijian Bao,Qinghao Wang,Wenbo Shi,Lei Wang,Hong Lei,Bangdao Chen,,"Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China","Department of Computer Science and Engineering, Northeastern University, Shenyang, China","Oxford-Hainan Blockchain Research Institute, Chengmai, China",,,,,China,,,,,,,2020,September,IEEE,10.1109/ACCESS.2020.3024254,2169-3536,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f367e7c1455e28cba4cc,Optimal Deployment Mechanism of Blockchain in Resource-Constrained IoT Systems, Blockchains, Security, Internet of Things, Wireless communication, Communication system security, Wireless sensor networks, Encryption,Jianhong Zhou,Gang Feng,Yunxiang Wang,,,,,"National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China","School of Computer and Software Engineering, Xihua University, Chengdu, China",,,,,,China,,,,,,,2021,August,IEEE,10.1109/JIOT.2021.3106355,2327-4662,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f387e7c1455e28cba4cd,Countering Active Attacks on RAFT-Based IoT Blockchain Networks, Blockchains, Jamming, Consensus protocol, Wireless sensor networks, Geometry, Wireless networks, Impersonation attacks,Hasan Mujtaba Buttar,Waqas Aman,M. Mahboob Ur Rahman,Qammer H. Abbasi,,,,"Electrical Engineering Department, Information Technology University, Lahore, Pakistan","Division of Information and Computing Technology, College of Science and Engineering, Hamad Bin Khalifa University, Qatar Foundation, Doha, Qatar","Department of Electronics and Nano Engineering, University of Glasgow, Glasgow, U.K",,,,,Pakistan,United Kingdom,Qatar,,,,,2023,May,IEEE,10.1109/JSEN.2023.3274687,1558-1748,,ma.ac.fstt.scrapingwithselenium.models.Article
6559f3a8e7c1455e28cba4ce,Space-Efficient Storage Structure of Blockchain Transactions Supporting Secure Verification, Blockchains, Indexes, Peer-to-peer computing, Bitcoin, Privacy, Hash functions, Cloud computing,Xiaoqin Feng,Jianfeng Ma,Huaxiong Wang,Sheng Wen,Yang Xiang,Yinbin Miao,,"Division of Mathematical Sciences, Nanyang Technological University, Singapore","School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, VIC, Australia","School of Cyber Engineering, and the Shaanxi Key Laboratory of Network and System Security, Xidian University, Xi’an, China","School of Cyber Engineering, Xidian University, Xi’an, China",,,,Singapore,China,Australia,,,,,2022,November,IEEE,10.1109/TCC.2022.3220664,2168-7161,Q2,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f3c8e7c1455e28cba4cf,"A Blockchain-Based Decentralized, Fair and Authenticated Information Sharing Scheme in Zero Trust Internet-of-Things", Blockchains, Smart contracts, Authentication, Privacy, Internet of Things, Information sharing, Servers,Yizhi Liu,Xiaohan Hao,Wei Ren,Ruoting Xiong,Tianqing Zhu,Kim-Kwang Raymond Choo,Geyong Min,"School of Computer Science, China University of Geosciences, Wuhan, China","Department of Information Systems and Cyber Security, University of Texas at San Antonio, San Antonio, TX, USA","Department of Computer Science, University of Exeter, Exeter, U.K.","School of Software, University of Technology Sydney, Ultimo, NSW, Australia",,,,USA,China,United Kingdom,Australia,,,,2022,March,IEEE,10.1109/TC.2022.3157996,1557-9956,,ma.ac.fstt.scrapingwithselenium.models.Article
6559f3f4e7c1455e28cba4d0,Optimized User-Friendly Transaction Time Management in the Blockchain Distributed Energy Market, Blockchains, Optimization, Minimization, Distributed ledger, Delays, Costs, Uncertainty,Martin Onyeka Okoye,Hak-Man Kim,,,,,,"Department of Electrical Engineering, Incheon National University, Incheon, South Korea",,,,,,,South Korea,,,,,,,2022,March,IEEE,10.1109/ACCESS.2022.3162214,2169-3536,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f418e7c1455e28cba4d1,A Taxonomy for Characterizing Blockchain Systems, Blockchains, Taxonomy, Smart contracts, Peer-to-peer computing, Distributed ledger, Software engineering, Interoperability,Fouzia E. Alzhrani,Kawther A. Saeedi,Liping Zhao,,,,,"Information Systems Department, King Abdulaziz University, Jeddah, Saudi Arabia","Department of Computer Science, The University of Manchester, Manchester, U.K.",,,,,,Saudi Arabia,United Kingdom,,,,,,2022,October,IEEE,10.1109/ACCESS.2022.3214837,2169-3536,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f448e7c1455e28cba4d2,SIGNORA: A Blockchain-Based Framework for Dataflow Integrity Provisioning in an Untrusted Data Pipeline, Blockchains, Data processing, Cloud computing, Pipeline processing, Receivers, Behavioral sciences, Smart contracts,Yustus Eko Oktian,Shinwook Heo,Howon Kim,,,,,"Blockchain Platform Research Center, Pusan National University, Busan, South Korea","School of Computer Science and Engineering, Pusan National University, Busan, South Korea",,,,,,South Korea,,,,,,,2022,August,IEEE,10.1109/ACCESS.2022.3199878,2169-3536,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f467e7c1455e28cba4d3,EVchain: An Anonymous Blockchain-Based System for Charging-Connected Electric Vehicles, Blockchain, Privacy, Security, Encryption, Smart contracts, Standards, Electric vehicle charging,Shiyuan Xu,Xue Chen,Yunhua He,,,,,"North China University of Technology, Beijing, China",,,,,,,China,,,,,,,2021,June,IEEE,10.26599/TST.2020.9010043,1007-0214,Q3,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559f486e7c1455e28cba4d4,IoT-Based Smart Home Device Monitor Using Private Blockchain Technology and Localization,,,,,,,,Marc Jayson Baucas,Stephen Andrew Gadsden,Petros Spachos,,,,,"School of Engineering, University of Guelph, Guelph, Canada",,,,,,,Canada,,,,,,,2021,March,IEEE,10.1109/LNET.2021.3070270,2576-3156,,ma.ac.fstt.scrapingwithselenium.models.Article
